행정구역별(시군구),2010,2010,2010,2010,2010,2010,2010,2010,2010
행정구역별(시군구),총인구,남자,여자,총내국인,남자,여자,총외국인,남자,여자
예산군,77830,38140,39690,77209,37773,39436,621,367,254
태안군,53888,26548,27340,53673,26437,27236,215,111,104
당진군,137006,72277,64729,135106,70972,64134,1900,1305,595
전라북도,1777220,872724,904496,1766044,867630,898414,11176,5094,6082
전주시,649728,319648,330080,646512,318359,328153,3216,1289,1927
군산시,260546,132090,128456,258845,131212,127633,1701,878,823
익산시,296366,146891,149475,294479,146026,148453,1887,865,1022
정읍시,110352,53020,57332,109458,52472,56986,894,548,346
남원시,78770,37603,41167,78425,37473,40952,345,130,215
김제시,83302,39989,43313,82739,39647,43092,563,342,221
완주군,83408,42339,41069,82041,41606,40435,1367,733,634
진안군,20446,9736,10710,20318,9719,10599,128,17,111
무주군,21827,10473,11354,21752,10459,11293,75,14,61
장수군,19424,9197,10227,19293,9170,10123,131,27,104
임실군,23663,11066,12597,23490,11012,12478,173,54,119
순창군,25241,11589,13652,25063,11565,13498,178,24,154
고창군,53333,25156,28177,53052,25061,27991,281,95,186
부안군,50814,23927,26887,50577,23849,26728,237,78,159
전라남도,1741499,852513,888986,1728749,845952,882797,12750,6561,6189
목포시,249960,125019,124941,248694,124387,124307,1266,632,634
여수시,269937,135185,134752,268727,134498,134229,1210,687,523
순천시,258670,127989,130681,257800,127699,130101,870,290,580
나주시,78679,37379,41300,77825,37000,40825,854,379,475
광양시,137810,70957,66853,137100,70611,66489,710,346,364
담양군,41027,19602,21425,40726,19455,21271,301,147,154
곡성군,27272,12569,14703,26975,12401,14574,297,168,129
구례군,22419,10420,11999,22291,10398,11893,128,22,106
고흥군,63392,29075,34317,63179,29021,34158,213,54,159
보성군,40166,18374,21792,39963,18332,21631,203,42,161
화순군,62219,29465,32754,61825,29331,32494,394,134,260
장흥군,35763,16658,19105,35590,16605,18985,173,53,120
강진군,34204,15897,18307,34029,15839,18190,175,58,117
해남군,66042,31344,34698,65685,31238,34447,357,106,251
영암군,58748,30607,28141,55665,28432,27233,3083,2175,908
무안군,68462,33340,35122,67697,32959,34738,765,381,384
함평군,30995,14498,16497,30770,14397,16373,225,101,124
영광군,48663,23257,25406,48432,23178,25254,231,79,152
장성군,38507,18862,19645,37899,18448,19451,608,414,194
완도군,46777,22454,24323,46476,22306,24170,301,148,153
진도군,28565,13337,15228,28414,13302,15112,151,35,116
신안군,33222,16225,16997,32987,16115,16872,235,110,125
경상북도,2600032,1296071,1303961,2575370,1281510,1293860,24662,14561,10101
포항시,511390,260124,251266,508736,258710,250026,2654,1414,1240
경주시,256150,127642,128508,252750,125267,127483,3400,2375,1025
김천시,127889,62390,65499,126823,61842,64981,1066,548,518
안동시,166197,81055,85142,165399,80758,84641,798,297,501
구미시,402607,207089,195518,399019,205107,193912,3588,1982,1606
영주시,108888,53692,55196,108268,53447,54821,620,245,375
영천시,95256,47052,48204,94350,46401,47949,906,651,255
상주시,98103,47403,50700,97559,47192,50367,544,211,333
문경시,69021,33316,35705,68692,33180,35512,329,136,193
경산시,266036,134391,131645,260643,131087,129556,5393,3304,2089
군위군,19993,9470,10523,19794,9335,10459,199,135,64
의성군,51247,23726,27521,51024,23619,27405,223,107,116
청송군,24008,11529,12479,23930,11515,12415,78,14,64
영양군,16540,7751,8789,16453,7740,8713,87,11,76
영덕군,36428,16831,19597,36220,16723,19497,208,108,100
청도군,38228,17639,20589,37935,17506,20429,293,133,160
고령군,31817,15840,15977,31000,15195,15805,817,645,172
성주군,36859,17862,18997,36319,17480,18839,540,382,158
칠곡군,114246,58668,55578,112104,57185,54919,2142,1483,659
예천군,43015,20323,22692,42757,20264,22493,258,59,199
봉화군,31242,15255,15987,31081,15201,15880,161,54,107
울진군,47108,23025,24083,46777,22768,24009,331,257,74
울릉군,7764,3998,3766,7737,3988,3749,27,10,17
경상남도,3160154,1591430,1568724,3119571,1562686,1556885,40583,28744,11839
진주시,337896,167005,170891,335297,165447,169850,2599,1558,1041
통영시,129366,65858,63508,127896,64908,62988,1470,950,520
사천시,107524,53890,53634,106175,52924,53251,1349,966,383
김해시,494510,250799,243711,484244,242884,241360,10266,7915,2351
밀양시,99128,47570,51558,98564,47272,51292,564,298,266
거제시,231271,125850,105421,225014,121140,103874,6257,4710,1547
양산시,252507,126503,126004,249529,124434,125095,2978,2069,909
창원시,1058021,539958,518063,1047488,532588,514900,10533,7370,3163
의령군,25602,11892,13710,25249,11652,13597,353,240,113
함안군,60794,30434,30360,59330,29250,30080,1464,1184,280
창녕군,55189,26148,29041,54580,25720,28860,609,428,181
고성군,51703,25831,25872,51026,25340,25686,677,491,186
남해군,43919,20312,23607,43599,20158,23441,320,154,166
하동군,41862,19623,22239,41668,19568,22100,194,55,139
산청군,31898,14882,17016,31712,14802,16910,186,80,106
함양군,38002,17728,20274,37729,17608,20121,273,120,153
거창군,57323,27333,29990,57085,27256,29829,238,77,161
합천군,43639,19814,23825,43386,19735,23651,253,79,174
제주특별자치도,531905,263244,268661,528411,261521,266890,3494,1723,1771
제주시,401192,198542,202650,398677,197356,201321,2515,1186,1329
서귀포시,130713,64702,66011,129734,64165,65569,979,537,442
